"timestamp (-05:00)",V_mp,P_mp
"2024-02-07 16:00:00",,
"2024-02-07 16:00:01",77.66,294
"2024-02-07 16:00:07",77.88,293
"2024-02-07 16:00:11",77.65,294
"2024-02-07 16:00:21",77.61,293
"2024-02-07 16:00:41",77.52,292
"2024-02-07 16:00:52",77.11,292
"2024-02-07 16:01:52",77.75,290
"2024-02-07 16:02:11",77.29,289
"2024-02-07 16:02:14",,
"2024-02-07 16:02:21",77.91,289
"2024-02-07 16:02:33",78.25,288
"2024-02-07 16:02:38",,
"2024-02-07 16:02:53",77.86,287
"2024-02-07 16:03:07",78.14,287
"2024-02-07 16:03:52",78.87,284
"2024-02-07 16:04:51",77.69,282
"2024-02-07 16:04:52",77.78,282
"2024-02-07 16:05:01",77.63,282
"2024-02-07 16:05:10",77.99,281
"2024-02-07 16:05:14",,
"2024-02-07 16:05:21",84.81,236
"2024-02-07 16:05:52",77.43,279
"2024-02-07 16:06:01",77.60,279
"2024-02-07 16:06:07",77.49,279
"2024-02-07 16:06:11",77.93,279
"2024-02-07 16:06:53",77.38,277
"2024-02-07 16:07:30",77.99,275
"2024-02-07 16:07:52",77.90,274
"2024-02-07 16:08:52",78.29,272
"2024-02-07 16:09:31",77.36,270
"2024-02-07 16:09:41",77.43,270
"2024-02-07 16:09:51",78.47,269
"2024-02-07 16:09:52",78.36,269
"2024-02-07 16:10:01",78.01,269
"2024-02-07 16:10:31",78.14,267
"2024-02-07 16:10:40",77.70,267
"2024-02-07 16:10:52",77.91,266
"2024-02-07 16:11:11",77.51,265
"2024-02-07 16:11:52",78.10,264
"2024-02-07 16:11:54",77.61,264
"2024-02-07 16:12:01",77.92,264
"2024-02-07 16:12:11",77.33,263
"2024-02-07 16:12:27",77.31,262
"2024-02-07 16:12:31",78.11,262
"2024-02-07 16:12:42",78.00,262
"2024-02-07 16:12:52",77.33,261
"2024-02-07 16:13:23",77.06,260
"2024-02-07 16:13:52",77.47,258
"2024-02-07 16:14:01",77.35,258
"2024-02-07 16:14:22",78.00,258
"2024-02-07 16:14:52",77.70,256
"2024-02-07 16:15:52",76.91,254
"2024-02-07 16:16:42",77.39,253
"2024-02-07 16:16:51",77.22,252
"2024-02-07 16:16:52",77.12,252
"2024-02-07 16:17:01",77.13,251
"2024-02-07 16:17:21",77.86,250
"2024-02-07 16:17:52",77.71,248
"2024-02-07 16:18:37",77.55,247
"2024-02-07 16:18:52",77.71,246
"2024-02-07 16:19:11",77.33,245
